rep,target_prevalence,actual_prevalence,n,algo,arm,auroc,brier,ece10,ece20,calib_slope,calib_intercept,mean_predicted,observed_rate,nb_at_prevalence,nb_at_0.20,nb_positive_up_to
0,0.05,0.05,6000,logreg,unweighted,0.7926,0.0446,0.0093,0.0135,0.982,-0.044,0.05,0.05,0.0229,0.0019,0.28
0,0.05,0.05,6000,logreg,weighted,0.7931,0.1773,0.3316,0.3316,0.813,-2.911,0.3816,0.05,0.0005,-0.1411,0.05
0,0.05,0.05,6000,logreg,weighted + Platt,0.7924,0.0446,0.0104,0.014,1.0,-0.002,0.05,0.05,0.0225,0.0017,0.29
0,0.05,0.05,6000,logreg,weighted + isotonic,0.7792,0.0437,0.0014,0.0059,0.874,-0.31,0.0503,0.05,0.0215,0.0045,0.28
0,0.05,0.05,6000,rf,unweighted,0.7782,0.0432,0.0036,0.0083,0.866,-0.33,0.0507,0.05,0.0218,0.004,0.45
0,0.05,0.05,6000,rf,weighted,0.7754,0.089,0.1742,0.1742,0.959,-1.994,0.2242,0.05,0.005,-0.0591,0.05
0,0.05,0.05,6000,rf,weighted + Platt,0.7741,0.0437,0.0057,0.0066,0.997,-0.005,0.0499,0.05,0.0214,0.0046,0.4
0,0.05,0.05,6000,rf,weighted + isotonic,0.7597,0.0441,0.0031,0.005,0.849,-0.381,0.0502,0.05,0.0205,0.0036,0.26
0,0.05,0.05,6000,hgb,unweighted,0.7765,0.0463,0.0192,0.0197,0.606,-0.863,0.0468,0.05,0.0209,0.0012,0.23
0,0.05,0.05,6000,hgb,weighted,0.7629,0.1011,0.1569,0.1569,0.54,-2.238,0.2069,0.05,0.0132,-0.046,0.07
0,0.05,0.05,6000,hgb,weighted + Platt,0.7623,0.0447,0.0073,0.0077,0.996,-0.011,0.05,0.05,0.0188,0.0007,0.41
0,0.05,0.05,6000,hgb,weighted + isotonic,0.748,0.0454,0.0021,0.0067,0.644,-0.946,0.0503,0.05,0.0196,0.0016,0.22
0,0.1,0.1,6000,logreg,unweighted,0.7976,0.0796,0.0228,0.0228,0.971,-0.054,0.0999,0.1,0.0463,0.0242,0.39
0,0.1,0.1,6000,logreg,weighted,0.7993,0.1779,0.2928,0.2928,0.833,-2.169,0.3928,0.1,0.0044,-0.0793,0.1
