cohort,prevalence,n,algo,correction,auroc,brier,ece10,ece20,calib_slope,calib_intercept,mean_predicted,observed_rate,nb_at_prevalence,nb_at_0.20,nb_positive_up_to
cleveland,0.4587,303,logreg,none,0.72,0.2131,0.087,0.088,0.954,-0.003,0.4582,0.4587,0.1386,0.3383,0.6
cleveland,0.4587,303,logreg,class_weight,0.7195,0.2142,0.0536,0.0888,0.952,-0.16,0.4929,0.4587,0.1352,0.3399,0.6
cleveland,0.4587,303,logreg,oversample,0.7149,0.2156,0.0652,0.0968,0.944,-0.161,0.4932,0.4587,0.1179,0.3416,0.6
cleveland,0.4587,303,logreg,undersample,0.7189,0.2145,0.0557,0.0689,0.891,-0.174,0.4959,0.4587,0.138,0.3416,0.6
cleveland,0.4587,303,logreg,smote,0.7196,0.214,0.0751,0.0943,0.931,-0.157,0.4922,0.4587,0.1347,0.3399,0.6
cleveland,0.4587,303,rf,none,0.7226,0.2112,0.0513,0.0584,0.933,-0.012,0.4598,0.4587,0.1401,0.349,0.6
cleveland,0.4587,303,rf,class_weight,0.7223,0.2112,0.0419,0.0858,0.932,-0.125,0.4849,0.4587,0.1446,0.349,0.6
cleveland,0.4587,303,rf,oversample,0.7225,0.2105,0.0453,0.0716,0.968,-0.133,0.4867,0.4587,0.1258,0.3465,0.6
cleveland,0.4587,303,rf,undersample,0.7241,0.2111,0.0529,0.0772,0.958,-0.178,0.4962,0.4587,0.1339,0.3432,0.6
cleveland,0.4587,303,rf,smote,0.7246,0.2113,0.0525,0.0888,0.922,-0.145,0.4891,0.4587,0.1629,0.3441,0.6
cleveland,0.4587,303,hgb,none,0.6748,0.2458,0.1507,0.1543,0.38,-0.05,0.4583,0.4587,0.1165,0.3226,0.57
cleveland,0.4587,303,hgb,class_weight,0.6748,0.2451,0.144,0.1538,0.377,-0.106,0.4827,0.4587,0.1205,0.3226,0.58
cleveland,0.4587,303,hgb,oversample,0.6666,0.2485,0.1436,0.1607,0.341,-0.089,0.4726,0.4587,0.1238,0.3226,0.58
cleveland,0.4587,303,hgb,undersample,0.6884,0.2402,0.1316,0.1532,0.417,-0.121,0.4845,0.4587,0.1276,0.3201,0.6
cleveland,0.4587,303,hgb,smote,0.671,0.2505,0.1418,0.146,0.345,-0.105,0.4842,0.4587,0.1299,0.3119,0.59
framingham,0.1519,4240,logreg,none,0.7198,0.118,0.0095,0.0168,0.951,-0.078,0.1522,0.1519,0.0532,0.0332,0.6
framingham,0.1519,4240,logreg,class_weight,0.7201,0.2129,0.2942,0.2942,0.924,-1.712,0.446,0.1519,0.0058,-0.0388,0.15
framingham,0.1519,4240,logreg,oversample,0.7206,0.2121,0.2925,0.2925,0.91,-1.708,0.4444,0.1519,0.0059,-0.0384,0.15
framingham,0.1519,4240,logreg,undersample,0.7186,0.2141,0.2949,0.2949,0.895,-1.714,0.4468,0.1519,0.0062,-0.0381,0.15
framingham,0.1519,4240,logreg,smote,0.7192,0.2134,0.2926,0.2927,0.89,-1.712,0.4445,0.1519,0.0075,-0.0357,0.15
framingham,0.1519,4240,rf,none,0.7019,0.1195,0.0148,0.0184,0.849,-0.235,0.1525,0.1519,0.0463,0.0323,0.54
framingham,0.1519,4240,rf,class_weight,0.6977,0.1551,0.1698,0.1698,0.85,-1.164,0.3217,0.1519,0.0206,-0.0099,0.18
framingham,0.1519,4240,rf,oversample,0.6907,0.1634,0.1835,0.1835,0.756,-1.271,0.3354,0.1519,0.0212,-0.0134,0.17
framingham,0.1519,4240,rf,undersample,0.6958,0.222,0.3039,0.3039,0.893,-1.718,0.4557,0.1519,0.0034,-0.0452,0.15
framingham,0.1519,4240,rf,smote,0.6842,0.1774,0.2119,0.2119,0.728,-1.389,0.3638,0.1519,0.0168,-0.0211,0.17
framingham,0.1519,4240,hgb,none,0.6664,0.1268,0.0528,0.053,0.502,-0.728,0.1467,0.1519,0.0324,0.0162,0.29
framingham,0.1519,4240,hgb,class_weight,0.6611,0.1856,0.1956,0.1965,0.455,-1.439,0.3452,0.1519,0.0245,-0.0104,0.18
framingham,0.1519,4240,hgb,oversample,0.6524,0.1799,0.1851,0.1851,0.426,-1.412,0.3281,0.1519,0.0257,-0.0074,0.19
framingham,0.1519,4240,hgb,undersample,0.6601,0.2468,0.299,0.2991,0.422,-1.723,0.4509,0.1519,0.0158,-0.0251,0.17
framingham,0.1519,4240,hgb,smote,0.6565,0.155,0.1366,0.1372,0.489,-1.241,0.2822,0.1519,0.0245,-0.0037,0.19
hungarian,0.3605,294,logreg,none,0.6981,0.2049,0.0176,0.0787,0.92,-0.037,0.3601,0.3605,0.0915,0.2211,0.6
hungarian,0.3605,294,logreg,class_weight,0.6988,0.2196,0.1193,0.1239,0.922,-0.562,0.4794,0.3605,0.0896,0.216,0.45
hungarian,0.3605,294,logreg,oversample,0.6825,0.2244,0.13,0.1336,0.901,-0.574,0.4843,0.3605,0.0862,0.2185,0.44
hungarian,0.3605,294,logreg,undersample,0.6962,0.221,0.1167,0.1233,0.857,-0.551,0.4773,0.3605,0.0934,0.2109,0.53
hungarian,0.3605,294,logreg,smote,0.6951,0.2207,0.1188,0.1355,0.833,-0.548,0.4759,0.3605,0.0828,0.2143,0.45
hungarian,0.3605,294,rf,none,0.6763,0.2127,0.0369,0.0555,0.739,-0.145,0.3649,0.3605,0.0928,0.2109,0.6
hungarian,0.3605,294,rf,class_weight,0.6788,0.2226,0.0989,0.1061,0.721,-0.471,0.455,0.3605,0.0897,0.2092,0.5
hungarian,0.3605,294,rf,oversample,0.6523,0.2314,0.1035,0.1364,0.6,-0.496,0.4598,0.3605,0.0718,0.2134,0.46
hungarian,0.3605,294,rf,undersample,0.6697,0.2294,0.1245,0.1339,0.759,-0.574,0.485,0.3605,0.089,0.2058,0.46
hungarian,0.3605,294,rf,smote,0.6689,0.2255,0.096,0.1026,0.627,-0.463,0.4479,0.3605,0.0891,0.2134,0.48
hungarian,0.3605,294,hgb,none,0.6448,0.2404,0.1326,0.1448,0.311,-0.347,0.3675,0.3605,0.0894,0.193,0.48
hungarian,0.3605,294,hgb,class_weight,0.6473,0.252,0.155,0.1826,0.322,-0.496,0.4512,0.3605,0.087,0.2075,0.45
hungarian,0.3605,294,hgb,oversample,0.636,0.2605,0.1779,0.2023,0.258,-0.473,0.4275,0.3605,0.0815,0.1811,0.44
hungarian,0.3605,294,hgb,undersample,0.6453,0.2559,0.17,0.1763,0.373,-0.578,0.4866,0.3605,0.0712,0.2168,0.45
hungarian,0.3605,294,hgb,smote,0.6349,0.2582,0.1729,0.1734,0.26,-0.467,0.4208,0.3605,0.0712,0.1905,0.46
kaggle_cvd70k,0.4914,20000,logreg,none,0.7939,0.1855,0.0274,0.033,0.997,-0.0,0.4914,0.4914,0.2242,0.3742,0.6
kaggle_cvd70k,0.4914,20000,logreg,class_weight,0.7939,0.1855,0.0294,0.0332,0.997,-0.035,0.4979,0.4914,0.2253,0.3742,0.6
kaggle_cvd70k,0.4914,20000,logreg,oversample,0.7938,0.1855,0.0293,0.0333,0.994,-0.034,0.4977,0.4914,0.2253,0.3743,0.6
kaggle_cvd70k,0.4914,20000,logreg,undersample,0.7939,0.1855,0.0293,0.0333,0.997,-0.035,0.4979,0.4914,0.2254,0.3742,0.6
kaggle_cvd70k,0.4914,20000,logreg,smote,0.7938,0.1855,0.0293,0.0333,0.994,-0.034,0.4978,0.4914,0.2251,0.3741,0.6
kaggle_cvd70k,0.4914,20000,rf,none,0.8023,0.1801,0.0082,0.0107,1.026,0.003,0.4911,0.4914,0.2314,0.3776,0.6
kaggle_cvd70k,0.4914,20000,rf,class_weight,0.8021,0.1802,0.0119,0.0154,1.026,-0.028,0.4967,0.4914,0.2326,0.3771,0.6
