cohort,n,prevalence,algo,arm,auroc,brier,ece10,ece20,calib_slope,calib_intercept,mean_predicted,observed_rate,nb_at_prevalence,nb_at_0.20,nb_positive_up_to
cleveland,303,0.4587,logreg,weighted,0.7195,0.2142,0.0536,0.0888,0.952,-0.16,0.4929,0.4587,0.1352,0.3399,0.6
cleveland,303,0.4587,logreg,weighted + Platt,0.7166,0.2144,0.0865,0.0889,0.989,-0.007,0.46,0.4587,0.132,0.3383,0.6
cleveland,303,0.4587,logreg,weighted + isotonic,0.6891,0.216,0.0611,0.0858,0.503,-0.037,0.4577,0.4587,0.112,0.3366,0.6
cleveland,303,0.4587,rf,weighted,0.7223,0.2112,0.0419,0.0858,0.932,-0.125,0.4849,0.4587,0.1446,0.349,0.6
cleveland,303,0.4587,rf,weighted + Platt,0.7201,0.2127,0.0638,0.1069,0.968,-0.012,0.4604,0.4587,0.1467,0.3465,0.6
cleveland,303,0.4587,rf,weighted + isotonic,0.685,0.219,0.0754,0.1013,0.232,-0.031,0.4641,0.4587,0.1322,0.3515,0.6
cleveland,303,0.4587,hgb,weighted,0.6748,0.2451,0.144,0.1538,0.377,-0.106,0.4827,0.4587,0.1205,0.3226,0.58
cleveland,303,0.4587,hgb,weighted + Platt,0.6702,0.228,0.0737,0.092,0.885,-0.025,0.461,0.4587,0.1238,0.3383,0.56
cleveland,303,0.4587,hgb,weighted + isotonic,0.6448,0.2372,0.0996,0.0996,0.082,-0.141,0.4644,0.4587,0.0997,0.3325,0.58
framingham,4240,0.1519,logreg,weighted,0.7201,0.2129,0.2942,0.2942,0.924,-1.712,0.446,0.1519,0.0058,-0.0388,0.15
framingham,4240,0.1519,logreg,weighted + Platt,0.7189,0.1182,0.0099,0.0186,0.989,-0.018,0.152,0.1519,0.0523,0.0312,0.6
framingham,4240,0.1519,logreg,weighted + isotonic,0.7101,0.1187,0.0088,0.0127,0.832,-0.259,0.1523,0.1519,0.0522,0.0359,0.54
framingham,4240,0.1519,rf,weighted,0.6977,0.1551,0.1698,0.1698,0.85,-1.164,0.3217,0.1519,0.0206,-0.0099,0.18
framingham,4240,0.1519,rf,weighted + Platt,0.6966,0.1198,0.0181,0.0186,0.988,-0.019,0.1519,0.1519,0.0452,0.0311,0.51
framingham,4240,0.1519,rf,weighted + isotonic,0.6858,0.1202,0.0072,0.0115,0.78,-0.347,0.152,0.1519,0.0435,0.0303,0.55
framingham,4240,0.1519,hgb,weighted,0.6611,0.1856,0.1956,0.1965,0.455,-1.439,0.3452,0.1519,0.0245,-0.0104,0.18
framingham,4240,0.1519,hgb,weighted + Platt,0.6602,0.1229,0.0079,0.0123,0.988,-0.018,0.1517,0.1519,0.0328,0.0193,0.47
framingham,4240,0.1519,hgb,weighted + isotonic,0.6507,0.1234,0.0043,0.0202,0.736,-0.427,0.1518,0.1519,0.0298,0.0193,0.54
hungarian,294,0.3605,logreg,weighted,0.6988,0.2196,0.1193,0.1239,0.922,-0.562,0.4794,0.3605,0.0896,0.216,0.45
hungarian,294,0.3605,logreg,weighted + Platt,0.6908,0.2061,0.04,0.0643,0.973,-0.016,0.3612,0.3605,0.0974,0.2228,0.6
hungarian,294,0.3605,logreg,weighted + isotonic,0.6774,0.2065,0.0696,0.0781,0.292,-0.374,0.3644,0.3605,0.1146,0.2236,0.6
hungarian,294,0.3605,rf,weighted,0.6788,0.2226,0.0989,0.1061,0.721,-0.471,0.455,0.3605,0.0897,0.2092,0.5
hungarian,294,0.3605,rf,weighted + Platt,0.6761,0.2115,0.0224,0.0438,0.982,-0.01,0.3607,0.3605,0.0851,0.2126,0.58
hungarian,294,0.3605,rf,weighted + isotonic,0.6453,0.2215,0.0839,0.1127,0.169,-0.449,0.3592,0.3605,0.0647,0.2168,0.58
hungarian,294,0.3605,hgb,weighted,0.6473,0.252,0.155,0.1826,0.322,-0.496,0.4512,0.3605,0.087,0.2075,0.45
hungarian,294,0.3605,hgb,weighted + Platt,0.6435,0.2196,0.0369,0.0484,0.897,-0.058,0.3612,0.3605,0.0774,0.2024,0.49
hungarian,294,0.3605,hgb,weighted + isotonic,0.6223,0.2227,0.0291,0.0812,0.262,-0.405,0.3597,0.3605,0.0655,0.193,0.49
kaggle_cvd70k,68598,0.4947,logreg,weighted,0.7899,0.1875,0.0321,0.036,0.998,-0.021,0.4987,0.4947,0.224,0.3762,0.6
kaggle_cvd70k,68598,0.4947,logreg,weighted + Platt,0.7899,0.1875,0.0325,0.0358,0.999,-0.0,0.4947,0.4947,0.2235,0.3762,0.6
kaggle_cvd70k,68598,0.4947,logreg,weighted + isotonic,0.7893,0.1858,0.0015,0.0046,0.993,-0.0,0.4947,0.4947,0.2258,0.3772,0.6
kaggle_cvd70k,68598,0.4947,rf,weighted,0.799,0.1814,0.008,0.0093,1.034,-0.018,0.4982,0.4947,0.231,0.38,0.6
kaggle_cvd70k,68598,0.4947,rf,weighted + Platt,0.7989,0.1814,0.0051,0.0077,1.0,0.0,0.4947,0.4947,0.2311,0.3801,0.6
kaggle_cvd70k,68598,0.4947,rf,weighted + isotonic,0.7982,0.1814,0.0017,0.0041,0.991,-0.001,0.4948,0.4947,0.231,0.3802,0.6
kaggle_cvd70k,68598,0.4947,hgb,weighted,0.7997,0.1811,0.004,0.005,1.01,-0.02,0.4984,0.4947,0.231,0.3799,0.6
kaggle_cvd70k,68598,0.4947,hgb,weighted + Platt,0.7997,0.1811,0.0016,0.0041,0.999,-0.0,0.4947,0.4947,0.2309,0.38,0.6
kaggle_cvd70k,68598,0.4947,hgb,weighted + isotonic,0.7991,0.1812,0.0013,0.0034,0.991,-0.0,0.4946,0.4947,0.2308,0.38,0.6
va_longbeach,199,0.7437,logreg,weighted,0.6364,0.2335,0.2219,0.2288,0.78,1.044,0.5226,0.7437,0.0211,0.6709,0.6
va_longbeach,199,0.7437,logreg,weighted + Platt,0.6335,0.1828,0.039,0.0819,0.899,0.091,0.746,0.7437,0.1792,0.6796,0.6
va_longbeach,199,0.7437,logreg,weighted + isotonic,0.5894,0.194,0.0779,0.0833,-0.001,1.067,0.7423,0.7437,0.1104,0.6696,0.6
va_longbeach,199,0.7437,rf,weighted,0.5718,0.2231,0.1611,0.1648,0.407,0.932,0.5839,0.7437,0.0422,0.6796,0.6
va_longbeach,199,0.7437,rf,weighted + Platt,0.5635,0.1888,0.0066,0.0218,0.817,0.185,0.7455,0.7437,0.0867,0.6796,0.6
va_longbeach,199,0.7437,rf,weighted + isotonic,0.5478,0.1984,0.0564,0.0638,0.041,1.028,0.7377,0.7437,0.0354,0.6721,0.6
va_longbeach,199,0.7437,hgb,weighted,0.5688,0.2447,0.1862,0.1878,0.225,0.974,0.5882,0.7437,0.0703,0.6621,0.6
va_longbeach,199,0.7437,hgb,weighted + Platt,0.5616,0.1891,0.0405,0.0405,0.836,0.179,0.7421,0.7437,0.0862,0.6796,0.6
va_longbeach,199,0.7437,hgb,weighted + isotonic,0.5331,0.1936,0.0611,0.0611,0.028,1.028,0.7451,0.7437,0.0501,0.6796,0.6
