dataset,target_prevalence,actual_prevalence,n,algo,calib_intercept,ece10
framingham,0.05,0.05,2000,logreg,-2.903,0.3852
framingham,0.05,0.05,2000,rf,-2.095,0.1253
framingham,0.05,0.05,2000,hgb,-2.496,0.0841
framingham,0.1,0.1,2000,logreg,-2.163,0.3326
framingham,0.1,0.1,2000,rf,-1.346,0.1508
framingham,0.1,0.1,2000,hgb,-1.685,0.144
framingham,0.15,0.15,2000,logreg,-1.723,0.2958
framingham,0.15,0.15,2000,rf,-1.157,0.1608
framingham,0.15,0.15,2000,hgb,-1.378,0.1672
framingham,0.2,0.2,2000,logreg,-1.371,0.2545
framingham,0.2,0.2,2000,rf,-0.94,0.152
framingham,0.2,0.2,2000,hgb,-1.132,0.167
framingham,0.3,0.3,2000,logreg,-0.843,0.1681
framingham,0.3,0.3,2000,rf,-0.579,0.1117
framingham,0.3,0.3,2000,hgb,-0.681,0.1277
