rep,target_prevalence,algo,arm,auroc,brier,ece10,ece20,calib_slope,calib_intercept,mean_predicted,observed_rate,nb_at_prevalence,nb_at_0.20,nb_positive_up_to,alpha_used
0,0.05,logreg,unweighted,0.7926,0.0446,0.0093,0.0135,0.982,-0.044,0.05,0.05,0.0229,0.0019,0.28,
0,0.05,logreg,weighted,0.7931,0.1773,0.3316,0.3316,0.813,-2.911,0.3816,0.05,0.0005,-0.1411,0.05,
0,0.05,rf,unweighted,0.7782,0.0432,0.0036,0.0083,0.866,-0.33,0.0507,0.05,0.0218,0.004,0.45,
0,0.05,rf,weighted,0.7754,0.089,0.1742,0.1742,0.959,-1.994,0.2242,0.05,0.005,-0.0591,0.05,
0,0.05,hgb,unweighted,0.7765,0.0463,0.0192,0.0197,0.606,-0.863,0.0468,0.05,0.0209,0.0012,0.23,
0,0.05,hgb,weighted,0.7629,0.1011,0.1569,0.1569,0.54,-2.238,0.2069,0.05,0.0132,-0.046,0.07,
0,0.1,logreg,unweighted,0.7976,0.0796,0.0228,0.0228,0.971,-0.054,0.0999,0.1,0.0463,0.0242,0.39,
0,0.1,logreg,weighted,0.7993,0.1779,0.2928,0.2928,0.833,-2.169,0.3928,0.1,0.0044,-0.0793,0.1,
0,0.1,rf,unweighted,0.8066,0.0772,0.0069,0.0094,0.948,-0.093,0.1005,0.1,0.049,0.0291,0.39,
0,0.1,rf,weighted,0.804,0.1228,0.1845,0.1845,1.01,-1.563,0.2845,0.1,0.0179,-0.0292,0.12,
0,0.1,hgb,unweighted,0.7767,0.0835,0.0293,0.0301,0.647,-0.564,0.0959,0.1,0.0445,0.0215,0.32,
0,0.1,hgb,weighted,0.7669,0.1406,0.1823,0.1842,0.6,-1.741,0.2823,0.1,0.0246,-0.0258,0.14,
0,0.15,logreg,unweighted,0.7861,0.1102,0.0262,0.03,0.992,-0.011,0.1499,0.15,0.0663,0.052,0.5,
0,0.15,logreg,weighted,0.7865,0.1872,0.2673,0.2673,0.867,-1.72,0.4173,0.15,0.0133,-0.0289,0.16,
0,0.15,rf,unweighted,0.7883,0.1055,0.0065,0.0133,0.984,-0.028,0.1507,0.15,0.0682,0.0544,0.6,
0,0.15,rf,weighted,0.7866,0.1487,0.1889,0.1889,1.029,-1.31,0.3389,0.15,0.0272,-0.0003,0.19,
0,0.15,hgb,unweighted,0.7674,0.1105,0.0257,0.0284,0.732,-0.347,0.1472,0.15,0.063,0.0521,0.46,
0,0.15,hgb,weighted,0.7581,0.1635,0.1903,0.1922,0.683,-1.428,0.34,0.15,0.0312,0.0017,0.2,
0,0.2,logreg,unweighted,0.7858,0.1333,0.0401,0.0422,0.989,-0.015,0.2002,0.2,0.091,0.091,0.54,
0,0.2,logreg,weighted,0.7857,0.1866,0.2298,0.2298,0.892,-1.375,0.4298,0.2,0.0257,0.0257,0.23,
0,0.2,rf,unweighted,0.7889,0.1283,0.0086,0.0116,0.978,-0.027,0.2004,0.2,0.0934,0.0934,0.57,
0,0.2,rf,weighted,0.7861,0.1619,0.1709,0.1709,1.011,-1.086,0.3709,0.2,0.0442,0.0442,0.43,
0,0.2,hgb,unweighted,0.7726,0.1344,0.0289,0.0318,0.731,-0.277,0.1979,0.2,0.0887,0.0887,0.53,
0,0.2,hgb,weighted,0.7709,0.1724,0.1723,0.1723,0.719,-1.154,0.3685,0.2,0.0523,0.0523,0.34,
0,0.3,logreg,unweighted,0.7959,0.1607,0.0383,0.042,0.988,-0.009,0.3,0.3,0.1407,0.1762,0.6,
0,0.3,logreg,weighted,0.7961,0.1823,0.1487,0.1487,0.947,-0.84,0.4487,0.3,0.0924,0.1477,0.6,
0,0.3,rf,unweighted,0.8028,0.1549,0.0208,0.0262,0.993,-0.007,0.3003,0.3,0.1459,0.175,0.6,
0,0.3,rf,weighted,0.8025,0.1695,0.1146,0.1152,1.016,-0.676,0.4146,0.3,0.1169,0.1652,0.6,
0,0.3,hgb,unweighted,0.7904,0.1619,0.0356,0.0372,0.777,-0.142,0.2991,0.3,0.1379,0.1715,0.6,
0,0.3,hgb,weighted,0.7894,0.1777,0.1186,0.1202,0.772,-0.724,0.4151,0.3,0.1143,0.1658,0.6,
0,0.4,logreg,unweighted,0.7811,0.1855,0.0269,0.0333,0.989,-0.006,0.4002,0.4,0.1732,0.2727,0.6,
0,0.4,logreg,weighted,0.7811,0.1906,0.0771,0.0771,0.967,-0.404,0.4771,0.4,0.1603,0.2662,0.6,
0,0.4,rf,unweighted,0.788,0.1809,0.0179,0.0211,1.008,0.005,0.3995,0.4,0.1812,0.274,0.6,
0,0.4,rf,weighted,0.788,0.1848,0.0605,0.0605,1.02,-0.325,0.4605,0.4,0.1706,0.2702,0.6,
0,0.4,hgb,unweighted,0.7692,0.19,0.0392,0.0397,0.755,-0.074,0.3987,0.4,0.1686,0.2676,0.6,
0,0.4,hgb,weighted,0.7695,0.1942,0.0694,0.0719,0.754,-0.347,0.461,0.4,0.1603,0.2676,0.6,
0,0.5,logreg,unweighted,0.7941,0.185,0.0273,0.0295,0.993,-0.001,0.5,0.5,0.2308,0.3828,0.6,
0,0.5,logreg,weighted,0.7941,0.185,0.0273,0.0295,0.993,-0.001,0.5,0.5,0.2308,0.3828,0.6,
0,0.5,rf,unweighted,0.7969,0.1824,0.011,0.0149,1.007,-0.0,0.5001,0.5,0.233,0.3852,0.6,
0,0.5,rf,weighted,0.7968,0.1824,0.012,0.017,1.007,-0.0,0.5001,0.5,0.2338,0.3861,0.6,
0,0.5,hgb,unweighted,0.7822,0.1899,0.0342,0.0346,0.775,-0.016,0.5014,0.5,0.2197,0.3819,0.6,
0,0.5,hgb,weighted,0.7822,0.1899,0.0342,0.0346,0.775,-0.016,0.5014,0.5,0.2197,0.3819,0.6,
1,0.05,logreg,unweighted,0.7927,0.0455,0.0099,0.0157,0.963,-0.1,0.0502,0.05,0.0227,0.0007,0.21,
