algo,setting,f_direct,alpha_intercept,calib_slope_at_005,calib_slope_mean,shift_vs_logodds_slope
logreg,0.001,0.9155,0.9897,1.3061,1.512,0.2882
logreg,0.01,0.9456,0.9884,0.8827,0.989,0.1247
logreg,0.1,0.96,0.9877,0.8203,0.9109,0.0999
logreg,1.0,0.9621,0.9876,0.8132,0.9017,0.0968
logreg,10.0,0.9622,0.9876,0.8125,0.9008,0.0965
logreg,100.0,0.9623,0.9876,0.8124,0.9007,0.0965
rf,3,0.9244,0.9581,1.4109,1.4456,-0.0416
rf,6,0.9156,0.8594,1.1545,1.1604,-0.0354
rf,12,0.7847,0.68,0.9588,1.0072,-0.0393
rf,None,0.7272,0.6503,0.854,0.9453,-0.0409
hgb,0.02,0.92,0.8528,0.7963,0.8932,0.0195
hgb,0.06,0.8362,0.7608,0.5401,0.692,0.0337
hgb,0.2,0.6443,0.6628,0.2565,0.4157,0.0372
