rep,target_prevalence,actual_prevalence,algo,theoretical_shift,shift_median,shift_mean,shift_sd,f_direct_median,f_direct_mean,shift_vs_logodds_slope,clipped_fraction,calib_slope_unw,calib_intercept_unw,calib_slope_w,calib_intercept_w
0,0.05,0.05,logreg,2.9444,2.8105,2.8259,0.2148,0.9545,0.9598,0.196,0.0,0.9824,-0.0444,0.8132,-2.9108
0,0.05,0.05,rf,2.9444,2.1268,2.0976,0.4372,0.7223,0.7124,-0.1223,0.0,0.8655,-0.3304,0.9588,-1.9943
0,0.05,0.05,hgb,2.9444,2.1292,2.05,0.7144,0.7231,0.6962,0.0609,0.00983,0.6063,-0.8632,0.5401,-2.2382
0,0.1,0.1,logreg,2.1972,2.0841,2.1065,0.192,0.9485,0.9587,0.1651,0.0,0.9707,-0.0536,0.8334,-2.1685
0,0.1,0.1,rf,2.1972,1.6397,1.6258,0.3096,0.7463,0.7399,-0.0548,0.0,0.9482,-0.0928,1.0103,-1.5633
0,0.1,0.1,hgb,2.1972,1.7642,1.7051,0.5546,0.8029,0.776,0.0621,0.00133,0.6469,-0.5636,0.5998,-1.741
0,0.15,0.15,logreg,1.7346,1.6562,1.6762,0.1511,0.9548,0.9663,0.1408,0.0,0.9923,-0.0109,0.8669,-1.7203
0,0.15,0.15,rf,1.7346,1.3506,1.3348,0.2261,0.7786,0.7695,-0.0406,0.0,0.9845,-0.0283,1.0286,-1.3102
0,0.15,0.15,hgb,1.7346,1.4692,1.4044,0.4461,0.847,0.8096,0.0618,0.0,0.7317,-0.3469,0.6833,-1.4277
0,0.2,0.2,logreg,1.3863,1.3303,1.3454,0.1188,0.9596,0.9705,0.1097,0.0,0.9892,-0.0146,0.8918,-1.3749
0,0.2,0.2,rf,1.3863,1.1205,1.0949,0.203,0.8083,0.7898,-0.0239,0.0,0.9784,-0.0265,1.0105,-1.0864
0,0.2,0.2,hgb,1.3863,1.1981,1.1462,0.3851,0.8643,0.8268,0.0429,0.0,0.7309,-0.2767,0.7191,-1.1537
0,0.3,0.3,logreg,0.8473,0.8252,0.831,0.0642,0.9739,0.9808,0.0438,0.0,0.9883,-0.009,0.9467,-0.8403
0,0.3,0.3,rf,0.8473,0.6967,0.6814,0.1339,0.8222,0.8042,-0.0219,0.0,0.9934,-0.0066,1.0157,-0.6765
0,0.3,0.3,hgb,0.8473,0.7531,0.7298,0.2712,0.8888,0.8614,0.0081,0.0,0.7775,-0.1421,0.7725,-0.7237
0,0.4,0.4,logreg,0.4055,0.3978,0.4011,0.0308,0.9812,0.9892,0.0224,0.0,0.9889,-0.0055,0.9666,-0.4037
0,0.4,0.4,rf,0.4055,0.3369,0.3264,0.0924,0.8308,0.805,-0.01,0.0,1.0083,0.0054,1.0195,-0.3247
0,0.4,0.4,hgb,0.4055,0.3614,0.354,0.207,0.8913,0.873,0.0,0.0,0.7547,-0.0741,0.7545,-0.3467
0,0.5,0.5,logreg,-0.0,0.0,0.0,0.0,,,0.0,0.0,0.9933,-0.0008,0.9933,-0.0008
0,0.5,0.5,rf,-0.0,-0.0,0.0001,0.0683,,,-0.0013,0.0,1.0071,-0.0002,1.0066,-0.0004
0,0.5,0.5,hgb,-0.0,0.0,0.0,0.0,,,0.0,0.0,0.7751,-0.0156,0.7751,-0.0156
1,0.05,0.05,logreg,2.9444,2.7579,2.775,0.3055,0.9367,0.9425,0.3249,0.0,0.9627,-0.1004,0.7365,-2.9067
1,0.05,0.05,rf,2.9444,2.0904,2.0553,0.4461,0.7099,0.698,-0.1047,0.00017,0.86,-0.3391,0.9348,-1.9776
1,0.05,0.05,hgb,2.9444,2.1857,2.1131,0.6638,0.7423,0.7176,0.0251,0.01033,0.5622,-0.9568,0.4898,-2.2554
1,0.1,0.1,logreg,2.1972,2.1239,2.1358,0.1343,0.9666,0.9721,0.1301,0.0,0.9712,-0.0556,0.8622,-2.1769
1,0.1,0.1,rf,2.1972,1.6463,1.6246,0.3072,0.7493,0.7394,-0.0454,0.0,0.9171,-0.1554,0.9453,-1.6124
1,0.1,0.1,hgb,2.1972,1.7891,1.7207,0.5326,0.8143,0.7831,0.0549,0.0,0.6251,-0.6304,0.5759,-1.776
1,0.15,0.15,logreg,1.7346,1.6402,1.6667,0.1491,0.9456,0.9609,0.1312,0.0,0.9729,-0.0403,0.8616,-1.7103
1,0.15,0.15,rf,1.7346,1.3751,1.357,0.2421,0.7927,0.7823,-0.0547,0.0,0.9731,-0.0326,1.0231,-1.3064
1,0.15,0.15,hgb,1.7346,1.4995,1.4384,0.444,0.8645,0.8292,0.0277,0.0,0.7139,-0.3733,0.7079,-1.4332
1,0.2,0.2,logreg,1.3863,1.3419,1.3549,0.1086,0.968,0.9774,0.0916,0.0,0.9784,-0.0267,0.8975,-1.3763
1,0.2,0.2,rf,1.3863,1.1036,1.0846,0.1939,0.796,0.7824,-0.0322,0.0,0.9578,-0.0479,1.0058,-1.0703
1,0.2,0.2,hgb,1.3863,1.2028,1.1635,0.3588,0.8676,0.8393,0.027,0.0,0.6959,-0.3164,0.6619,-1.1545
1,0.3,0.3,logreg,0.8473,0.8322,0.8391,0.0408,0.9821,0.9903,0.0259,0.0,0.9858,-0.0102,0.9598,-0.8414
1,0.3,0.3,rf,0.8473,0.7011,0.6835,0.1276,0.8275,0.8067,-0.0257,0.0,0.9716,-0.0209,0.9956,-0.6791
1,0.3,0.3,hgb,0.8473,0.7678,0.7456,0.255,0.9062,0.88,-0.0029,0.0,0.7374,-0.1838,0.7429,-0.7435
1,0.4,0.4,logreg,0.4055,0.3958,0.4013,0.0309,0.9763,0.9897,0.0242,0.0,0.9941,-0.0016,0.9706,-0.4021
1,0.4,0.4,rf,0.4055,0.3348,0.3261,0.0905,0.8258,0.8043,-0.0142,0.0,1.0043,0.0022,1.0183,-0.3239
1,0.4,0.4,hgb,0.4055,0.376,0.3624,0.2067,0.9272,0.8937,-0.0065,0.0,0.8101,-0.0602,0.8098,-0.3573
1,0.5,0.5,logreg,-0.0,0.0,0.0,0.0,,,0.0,0.0,0.9943,0.0001,0.9943,0.0001
1,0.5,0.5,rf,-0.0,0.001,0.0001,0.0676,,,-0.0015,0.0,1.0009,0.0043,1.0028,0.0041
1,0.5,0.5,hgb,-0.0,0.0,0.0,0.0,,,0.0,0.0,0.7739,-0.0049,0.7739,-0.0049
2,0.05,0.05,logreg,2.9444,2.8169,2.849,0.1958,0.9567,0.9676,0.1648,0.0,0.9655,-0.0898,0.7996,-2.9061
2,0.05,0.05,rf,2.9444,2.1953,2.1492,0.4454,0.7456,0.7299,-0.1861,0.0,0.8737,-0.3103,0.9927,-1.9802
2,0.05,0.05,hgb,2.9444,2.1806,2.1061,0.6815,0.7406,0.7153,0.0767,0.01533,0.5434,-1.0469,0.4548,-2.329
2,0.1,0.1,logreg,2.1972,2.0886,2.1021,0.1894,0.9506,0.9567,0.1661,0.0,0.9868,-0.0232,0.8425,-2.1702
2,0.1,0.1,rf,2.1972,1.6789,1.6367,0.3248,0.7641,0.7449,-0.0419,0.0,0.9722,-0.0471,1.0238,-1.597
2,0.1,0.1,hgb,2.1972,1.7798,1.7103,0.5389,0.81,0.7784,0.0569,0.00017,0.6961,-0.4657,0.6581,-1.7342
2,0.15,0.15,logreg,1.7346,1.6681,1.68,0.1259,0.9617,0.9685,0.1137,0.0,0.9813,-0.0299,0.8814,-1.7139
2,0.15,0.15,rf,1.7346,1.3742,1.3456,0.2291,0.7923,0.7758,-0.0427,0.0,0.9886,-0.0201,1.0406,-1.3194
2,0.15,0.15,hgb,1.7346,1.4889,1.4343,0.4231,0.8584,0.8269,0.029,0.0005,0.7369,-0.345,0.7185,-1.4398
2,0.2,0.2,logreg,1.3863,1.3381,1.3489,0.0973,0.9653,0.973,0.0777,0.0,0.9846,-0.0189,0.9131,-1.3716
2,0.2,0.2,rf,1.3863,1.1144,1.0942,0.1833,0.8039,0.7893,-0.0349,0.0,0.984,-0.0183,1.0119,-1.0771
2,0.2,0.2,hgb,1.3863,1.2249,1.178,0.361,0.8835,0.8498,0.0281,0.00017,0.7555,-0.242,0.7198,-1.1614
2,0.3,0.3,logreg,0.8473,0.8294,0.8334,0.0573,0.9788,0.9836,0.0368,0.0,0.9909,-0.0073,0.9541,-0.8416
